"id","order_id","product_id","quantity"
"1","1","4","2"
"2","1","13","1"
"3","1","9","3"
"4","2","1","1"
"5","2","2","1"
"6","2","14","1"
"7","2","18","1"
"8","2","7","1"
"9","2","11","1"
"10","2","3","1"
"11","2","17","1"
"12","3","1","1"
"13","3","14","1"
"14","3","12","1"
"15","3","15","1"
"16","3","13","1"
"17","3","10","1"
"18","3","9","1"
"19","4","1","1"
"20","4","4","1"
"21","4","18","1"
"22","4","15","1"
"23","4","3","1"
"24","4","13","1"
"25","4","10","1"
"26","4","5","1"
"27","5","1","1"
"28","5","12","1"
"29","5","7","1"
"30","5","3","1"
"31","5","13","1"
"32","6","14","1"
"33","6","16","1"
"34","6","4","1"
"35","6","12","1"
"36","6","15","1"
"37","6","3","1"
"38","6","13","2"
"39","6","10","2"
"40","6","5","1"
"41","7","1","1"
"42","7","14","1"
"43","7","12","1"
"44","7","11","1"
"45","7","17","2"
"46","7","9","1"
"47","8","1","1"
"48","8","4","1"
"49","8","18","1"
"50","8","8","1"
"51","8","13","1"
"52","8","9","2"
"53","8","5","2"
"54","9","1","1"
"55","9","12","1"
"56","9","7","1"
"57","9","13","1"
"58","9","9","2"
"59","10","1","2"
"60","10","14","2"
"61","10","8","3"
"62","10","17","4"
"63","10","9","2"
"64","11","1","1"
"65","11","14","2"
"66","11","18","5"
"67","11","9","2"
"68","12","1","1"
"69","12","14","1"
"70","12","4","1"
"71","12","18","1"
"72","12","7","2"
"73","12","9","7"
"74","12","5","4"
"75","13","1","6"
"76","13","18","3"
"77","13","11","5"
"78","13","3","5"
"79","13","10","6"
"80","14","1","3"
"81","14","12","3"
"82","14","15","4"
"83","14","5","3"
"84","15","1","1"
"85","15","4","1"
"86","15","18","1"
"87","15","11","2"
"88","15","3","3"
"89","15","17","3"
"90","16","2","1"
"91","16","14","1"
"92","16","7","5"
"93","16","17","3"
"94","17","12","4"
"95","17","15","5"
"96","17","17","3"
"97","17","9","3"
"98","18","2","4"
"99","18","8","4"
"100","18","17","4"
"101","19","2","2"
"102","19","18","2"
"103","19","3","3"
"104","19","17","3"
"105","19","9","3"
"106","20","12","1"
"107","20","18","1"
"108","20","11","7"
"109","20","10","3"
"110","21","1","1"
"111","21","7","2"
"112","21","15","2"
"113","21","10","4"
"114","21","5","4"
"115","22","1","1"
"116","22","7","2"
"117","22","15","2"
"118","22","10","4"
"119","22","5","4"
"120","23","2","2"
"121","23","18","2"
"122","23","3","3"
"123","23","17","3"
"124","23","9","3"
