"id","name","price","image"
"1","Apple","200.00","Apple.jpg"
"2","Banana","200.00","Banana.jpg"
"3","Orange","400.00","Orange.jpg"
"4","Cheeseburger","600.00","Cheese Burger.jpg"
"5","Veggie Burger","400.00","Veggie Burger.jpg"
"7","French Fries","200.00","Fries.jpg"
"8","Onion Rings","300.00","Onion Rings.jpg"
"9","Soda (Small)","150.00","Small Soda.jpg"
"10","Soda (Large)","250.00","Large Soda.jpg"
"11","Milkshake","450.00","Milkshake.jpg"
"12","Chicken Nuggets (6 pcs)","600.00","Nuggets.jpg"
"13","Pizza Slice","200.00","Pizza Slice.jpg"
"14","Biryani","350.00","Biryani.jpg"
"15","Naan","50.00","Naan.jpg"
"16","Chapli Kebab","120.00","Chapli Kabab.jpg"
"17","Seekh Kebab","100.00","Seekh Kabab.jpg"
"18","chickentikka","2345.00","chickentikka.jpg"
